ID;NAZWA;w11;w12;w13;w14;w15;w16;w17;w18;z11;z12;z13;z14;z15;z16;z17;z18;r11;r12;r13;r14;r15;r16;r17;r18
0000000;"POLSKA";40131;37062;35847;34970;32967;33664;32760;31674;4195;3577;3357;3202;2938;3026;2831;2862;49617;45792;44059;42545;39778;40766;39466;37359;
0200000;"DOLNOŚLĄSKIE";2973;3221;2586;2466;2280;2324;2183;2148;259;239;223;242;185;226;219;203;3980;4271;3385;3154;2968;2907;2749;2674;
0201000;"Powiat bolesławiecki";49;70;67;70;79;84;52;63;10;8;11;11;5;11;11;7;60;84;90;92;110;101;65;76;
0202000;"Powiat dzierżoniowski";68;57;64;54;53;56;38;47;20;8;5;7;7;9;10;7;75;71;66;66;54;58;36;45;
0203000;"Powiat głogowski";50;64;65;58;54;53;47;44;4;7;4;6;0;9;5;5;56;74;77;83;111;76;73;64;
0204000;"Powiat górowski";14;38;51;41;36;39;43;39;2;4;5;1;2;3;5;0;17;47;69;50;47;55;60;60;
0205000;"Powiat jaworski";41;58;58;63;52;53;44;39;3;2;7;4;5;7;8;4;69;92;72;92;65;71;58;68;
0206000;"Powiat jeleniogórski";29;43;35;41;30;35;24;31;1;2;1;7;3;9;5;4;46;64;64;46;46;34;20;33;
0207000;"Powiat kamiennogórski";32;35;36;34;35;31;22;23;3;9;5;9;6;5;2;3;40;35;35;39;34;29;27;23;
0208000;"Powiat kłodzki";110;145;163;144;125;147;115;145;17;9;17;17;10;23;13;18;131;193;237;179;160;177;157;227;
0209000;"Powiat legnicki";49;55;63;57;55;45;51;39;9;7;5;4;5;7;6;6;82;86;109;108;83;74;74;43;
0210000;"Powiat lubański";32;22;22;36;27;22;23;19;5;1;3;10;4;3;7;2;44;24;29;39;35;24;21;19;
0211000;"Powiat lubiński";76;71;70;60;66;62;59;71;16;5;11;12;10;8;6;15;92;140;89;70;84;89;77;93;
0212000;"Powiat lwówecki";19;28;28;22;26;25;17;17;3;2;5;3;2;5;4;5;22;29;29;30;26;29;17;17;
0213000;"Powiat milicki";29;32;34;35;35;35;30;27;1;3;3;1;1;4;2;3;47;42;37;58;50;41;35;38;
0214000;"Powiat oleśnicki";97;86;67;50;62;50;48;36;16;9;10;15;16;10;7;3;123;123;91;52;65;54;60;46;
0215000;"Powiat oławski";58;59;43;50;46;50;59;63;9;8;4;5;7;7;4;8;62;72;55;54;58;66;77;68;
0216000;"Powiat polkowicki";45;38;24;29;31;49;48;33;10;9;5;12;6;3;1;6;58;42;26;35;29;66;62;56;
0217000;"Powiat strzeliński";40;51;39;37;38;34;37;40;8;4;4;6;4;2;4;3;56;72;54;49;56;39;54;51;
0218000;"Powiat średzki";37;50;48;50;53;53;49;55;7;13;7;10;7;10;11;14;60;75;76;65;81;82;59;69;
0219000;"Powiat świdnicki";154;196;187;150;162;143;137;130;14;18;14;13;11;14;24;11;233;246;254;193;188;185;174;153;
0220000;"Powiat trzebnicki";72;71;73;78;69;65;64;53;11;12;14;11;15;12;12;11;100;121;103;124;128;89;77;65;
