ID;NAZWA;w7;w8;z7;z8;r7;r8
0;POLSKA;32760;31674;2831;2862;39466;37359
200000;DOLNOŚLĄSKIE;2183;2148;219;203;2749;2674
201000;Powiat bolesławiecki;52;63;11;7;65;76
202000;Powiat dzierżoniowski;38;47;10;7;36;45
203000;Powiat głogowski;47;44;5;5;73;64
204000;Powiat górowski;43;39;5;0;60;60
205000;Powiat jaworski;44;39;8;4;58;68
206000;Powiat jeleniogórski;24;31;5;4;20;33
207000;Powiat kamiennogórski;22;23;2;3;27;23
208000;Powiat kłodzki;115;145;13;18;157;227
209000;Powiat legnicki;51;39;6;6;74;43
210000;Powiat lubański;23;19;7;2;21;19
211000;Powiat lubiński;59;71;6;15;77;93
212000;Powiat lwówecki;17;17;4;5;17;17
213000;Powiat milicki;30;27;2;3;35;38
214000;Powiat oleśnicki;48;36;7;3;60;46
215000;Powiat oławski;59;63;4;8;77;68
216000;Powiat polkowicki;48;33;1;6;62;56
217000;Powiat strzeliński;37;40;4;3;54;51
218000;Powiat średzki;49;55;11;14;59;69
219000;Powiat świdnicki;137;130;24;11;174;153
220000;Powiat trzebnicki;64;53;12;11;77;65
221000;Powiat wałbrzyski;79;56;1;1;110;71
222000;Powiat wołowski;17;24;2;5;23;29
223000;Powiat wrocławski;204;179;10;17;317;233
224000;Powiat ząbkowicki;78;79;6;4;107;107
225000;Powiat zgorzelecki;48;38;14;11;45;39
226000;Powiat złotoryjski;17;13;5;1;19;13
261000;Powiat m.Jelenia Góra;25;21;2;5;24;19
262000;Powiat m.Legnica;44;39;2;0;46;42
264000;Powiat m.Wrocław;565;598;26;21;650;696
265000;Powiat m.Wałbrzych od 2013;99;87;4;3;125;111
400000;KUJAWSKO-POMORSKIE;949;970;151;171;1080;1031
401000;Powiat aleksandrowski;19;32;0;13;21;50
402000;Powiat brodnicki;36;39;10;9;34;35
403000;Powiat bydgoski;58;78;15;11;87;98
404000;Powiat chełmiński;21;19;3;7;26;18
405000;Powiat golubsko-dobrzyński;26;13;5;3;27;18
406000;Powiat grudziądzki;29;26;3;5;34;31
407000;Powiat inowrocławski;62;62;9;15;66;59
408000;Powiat lipnowski;47;51;9;11;46;46
409000;Powiat mogileński;20;17;1;5;23;18
410000;Powiat nakielski;76;50;10;9;102;55
411000;Powiat radziejowski;18;17;9;5;21;18
412000;Powiat rypiński;26;17;2;0;28;19
413000;Powiat sępoleński;19;21;4;4;22;22
414000;Powiat świecki;46;44;11;17;63;43
415000;Powiat toruński;49;34;15;12;52;32
416000;Powiat tucholski;15;15;2;0;15;17
417000;Powiat wąbrzeski;11;14;2;2;10;15
418000;Powiat włocławski;77;73;12;15;78;71
419000;Powiat żniński;44;37;4;3;47;40
461000;Powiat m.Bydgoszcz;134;171;16;8;155;186
462000;Powiat m.Grudziądz;34;47;3;2;36;53
463000;Powiat m.Toruń;53;53;5;10;57;49
464000;Powiat m.Włocławek;29;40;1;5;30;38
600000;LUBELSKIE;1242;1216;157;179;1432;1286
601000;Powiat bialski;92;73;17;15;94;72
602000;Powiat biłgorajski;39;42;4;11;44;35
603000;Powiat chełmski;41;45;12;9;36;39
604000;Powiat hrubieszowski;19;25;3;3;26;26
605000;Powiat janowski;38;30;7;5;51;49
606000;Powiat krasnostawski;41;43;8;6;50;42
607000;Powiat kraśnicki;66;62;12;10;61;63
608000;Powiat lubartowski;42;40;5;8;54;43
609000;Powiat lubelski;120;111;13;18;168;118
610000;Powiat łęczyński;29;32;6;6;34;33
611000;Powiat łukowski;63;60;11;14;78;51
612000;Powiat opolski;33;32;5;6;32;34
613000;Powiat parczewski;15;21;5;3;14;19
614000;Powiat puławski;71;76;7;10;84;81
615000;Powiat radzyński;45;49;6;13;54;47
616000;Powiat rycki;48;50;7;6;50;61
617000;Powiat świdnicki;21;28;4;6;18;31
618000;Powiat tomaszowski;49;40;6;7;48;49
619000;Powiat włodawski;23;23;2;3;24;27
620000;Powiat zamojski;57;53;7;6;66;55
661000;Powiat m.Biała Podlaska;29;30;0;0;30;30
662000;Powiat m.Chełm;25;22;3;0;23;23
663000;Powiat m.Lublin;212;211;6;13;268;241
664000;Powiat m.Zamość;24;18;1;1;25;17
800000;LUBUSKIE;682;663;84;79;855;790
801000;Powiat gorzowski;44;39;10;5;73;56
802000;Powiat krośnieński;29;26;8;6;34;28
803000;Powiat międzyrzecki;59;57;9;5;82;71
804000;Powiat nowosolski;53;75;5;6;63;80
805000;Powiat słubicki;40;44;8;7;54;63
806000;Powiat strzelecko-drezdenecki;42;41;2;6;45;47
807000;Powiat sulęciński;30;29;2;6;39;32
808000;Powiat świebodziński;65;51;11;6;81;63
809000;Powiat zielonogórski;48;50;5;8;67;62
810000;Powiat żagański;52;60;7;7;50;67
811000;Powiat żarski;54;70;8;11;61;87
812000;Powiat wschowski;16;20;1;3;24;23
861000;Powiat m.Gorzów Wielkopolski;56;47;3;1;65;51
862000;Powiat m.Zielona Góra;94;54;5;2;117;60
1000000;ŁÓDZKIE;3787;3759;219;229;4750;4600
1001000;Powiat bełchatowski;158;171;10;12;204;233
1002000;Powiat kutnowski;195;212;15;18;238;245
1003000;Powiat łaski;31;47;4;3;35;49
1004000;Powiat łęczycki;52;53;5;5;57;58
1005000;Powiat łowicki;77;61;8;10;96;78
1006000;Powiat łódzki wschodni;126;97;14;12;161;132
1007000;Powiat opoczyński;74;86;11;12;101;113
1008000;Powiat pabianicki;112;75;4;6;132;80
1009000;Powiat pajęczański;51;53;6;6;66;57
1010000;Powiat piotrkowski;194;186;18;24;289;276
1011000;Powiat poddębicki;61;54;15;7;78;68
1012000;Powiat radomszczański;204;214;8;23;285;264
1013000;Powiat rawski;72;58;4;9;84;70
1014000;Powiat sieradzki;68;65;14;11;81;69
1015000;Powiat skierniewicki;48;52;7;2;58;66
